user_id,ratings
173,3.0
174,5.0
175,4.0
176,3.0
177,5.0
178,4.0
179,5.0
180,4.0
181,3.0
182,5.0
183,4.0
184,3.0
185,5.0
186,4.0
187,3.0
188,5.0
189,4.0
190,3.0
191,5.0
192,4.0
193,3.0
194,5.0
195,4.0
196,3.0
197,5.0
198,4.0
199,3.0
200,5.0
201,5.0
202,4.0
203,3.0
204,5.0
205,4.0
206,3.0
207,5.0
208,4.0
209,3.0
210,5.0
211,4.0
212,3.0
213,5.0
214,4.0
215,3.0
216,5.0
217,4.0
218,3.0
219,5.0
220,4.0
221,3.0
222,5.0
223,4.0
224,3.0
225,5.0
226,4.0
227,3.0
228,5.0
229,4.0
230,3.0
231,5.0
232,4.0
233,3.0
234,5.0
235,4.0
236,3.0
237,5.0
238,4.0
239,3.0
240,5.0
241,4.0
242,3.0
243,5.0
244,4.0
245,3.0
246,5.0
247,4.0
248,3.0
249,5.0
250,4.0
251,3.0
252,5.0
253,4.0
254,3.0
255,5.0
256,4.0
257,3.0
258,5.0
259,4.0
260,3.0
261,5.0
262,4.0
263,3.0
264,5.0
265,4.0
266,3.0
267,5.0
268,4.0
269,3.0
270,5.0
271,4.0
272,5.0
273,4.0
274,3.0
275,5.0
276,4.0
277,3.0
278,5.0
279,4.0
280,3.0
281,5.0
282,4.0
283,3.0
284,5.0
285,4.0
286,3.0
287,5.0
288,4.0
289,3.0
290,5.0
291,4.0
292,3.0
293,5.0
294,4.0
295,3.0
296,5.0
297,4.0
298,3.0
299,5.0
300,4.0
301,3.0
302,5.0
303,4.0
304,3.0
305,5.0
306,4.0
307,3.0
308,5.0
309,4.0
310,3.0
311,5.0
312,4.0
313,3.0
314,5.0
315,4.0
316,3.0
317,5.0
318,4.0
319,3.0
320,5.0
321,4.0
322,3.0
323,5.0
324,4.0
325,3.0
326,5.0
327,4.0
328,3.0
329,5.0
330,4.0
331,3.0
332,5.0
333,4.0
334,3.0
335,5.0
336,4.0
337,3.0
338,5.0
339,4.0
340,3.0
341,5.0
342,4.0
343,3.0
344,5.0
345,4.0
346,3.0
347,5.0
348,4.0
349,3.0
350,5.0
351,4.0
352,3.0
353,5.0
354,4.0
355,3.0
356,5.0
357,4.0
358,3.0
359,5.0
360,4.0
361,3.0
362,5.0
363,4.0
364,3.0
365,5.0
366,4.0
367,3.0
368,5.0
369,4.0
370,3.0
371,5.0
372,4.0
373,3.0
374,5.0
375,4.0
376,3.0
377,5.0
378,4.0
379,5.0
380,4.0
381,3.0
382,5.0
383,4.0
384,3.0
385,5.0
386,4.0
387,3.0
388,5.0
389,4.0
390,3.0
391,5.0
392,4.0
393,3.0
394,5.0
395,4.0
396,3.0
397,5.0
398,4.0
399,3.0
400,5.0
401,5.0
402,4.0
403,3.0
404,5.0
405,4.0
406,3.0
407,5.0
408,4.0
409,3.0
410,5.0
411,4.0
412,3.0
413,5.0
414,4.0
415,3.0
416,5.0
417,4.0
418,3.0
419,5.0
420,4.0
421,3.0
422,5.0
423,4.0
424,3.0
425,5.0
426,4.0
427,3.0
428,5.0
429,4.0
430,3.0
431,5.0
432,4.0
433,3.0
434,5.0
435,4.0
436,3.0
437,5.0
438,4.0
439,3.0
440,5.0
441,4.0
442,3.0
443,5.0
444,4.0
445,3.0
446,5.0
447,4.0
448,3.0
449,5.0
450,4.0
451,3.0
452,5.0
453,4.0
454,3.0
455,5.0
456,4.0
457,3.0
458,5.0
459,4.0
460,3.0
461,5.0
462,4.0
463,3.0
464,5.0
465,4.0
466,3.0
467,5.0
468,4.0
469,3.0
470,5.0
471,4.0
472,5.0
473,4.0
474,3.0
475,5.0
476,4.0
477,3.0
478,5.0
479,4.0
480,3.0
481,5.0
482,4.0
483,3.0
484,5.0
485,4.0
486,3.0
487,5.0
488,4.0
489,3.0
490,5.0
491,4.0
492,3.0
493,5.0
494,4.0
495,3.0
496,5.0
497,4.0
498,3.0
499,5.0
500,4.0
501,3.0
502,5.0
503,4.0
504,3.0
505,5.0
506,4.0
507,3.0
508,5.0
509,4.0
510,3.0
511,5.0
512,4.0
513,3.0
514,5.0
515,4.0
516,3.0
517,5.0
518,4.0
519,3.0
520,5.0
521,4.0
522,3.0
523,5.0
524,4.0
525,3.0
526,5.0
527,4.0
528,3.0
529,5.0
530,4.0
531,3.0
532,5.0
533,4.0
534,3.0
535,5.0
536,4.0
537,3.0
538,5.0
539,4.0
540,3.0
541,5.0
542,4.0
543,3.0
544,5.0
545,4.0
546,3.0
547,5.0
548,4.0
549,3.0
550,5.0
551,4.0
552,3.0
553,5.0
554,4.0
555,3.0
556,5.0
557,4.0
558,3.0
559,5.0
560,4.0
561,3.0
562,5.0
563,4.0
564,3.0
565,5.0
566,4.0
567,3.0
568,5.0
569,4.0
570,3.0
571,5.0
572,4.0
573,3.0
574,5.0
575,4.0
576,3.0
577,5.0
578,4.0
579,5.0
580,4.0
581,3.0
582,5.0
583,4.0
584,3.0
585,5.0
586,4.0
587,3.0
588,5.0
589,4.0
590,3.0
591,5.0
592,4.0
593,3.0
594,5.0
595,4.0
596,3.0
597,5.0
598,4.0
599,3.0
600,5.0
601,5.0
602,4.0
603,3.0
604,5.0
605,4.0
606,3.0
607,5.0
608,4.0
609,3.0
610,5.0
611,4.0
612,3.0
613,5.0
