user_id,User hobby,Places,Genres
101,Art & Calligraphy,AL-Hammra Art Centre,
102,Art & Calligraphy,AL-Hammra Art Centre,
103,Art & Calligraphy,Prime Art Gallery,
104,Music,Musically - Rooftop Restaurant,
105,Acting & Movies,Cinestar,
106,Acting & Movies,Cinepax,
107,Acting & Movies,Universal Cinema,
108,Acting & Movies,Alhamra Arts Council,
109,Acting & Movies,Alhamra Open Air Theater,
110,Acting & Movies,Cinestar,
111,Acting & Movies,Cinepax,
112,Sports,Gaddafi Stadium,
113,Fitness,Shapes DHA,
114,Sports,National Hockey Stadium,
115,Sports,Quaid-e-Azam International Cycling Velodrome,
116,Sports,Lahore Marina Boat Club,
117,Literature,Readings,
118,Literature,The Last Word,
119,Literature,British Council Lahore Library,
120,Music,The Guitar Center,Shopping|Music
121,Music,Sound of Music,Shopping|Music
122,Sports,Arena56,
123,History Lover,Army Museum,
124,Art & Calligraphy,AL-Hammra Art Centre,
125,Sports,Gaddafi Stadium,
126,Literature,AL-Hammra Art Centre,
127,Literature,Quaid e Azam Library,
128,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
129,Games,Anywhere,
130,History Lover,Greater iqbal park,
131,History Lover,Badshahi mosque,
132,Gardening,Changa Manga Forest and Wildlife Park,
133,Gardening,Lahore Safari Park,
134,Gardening,Jam-e-Shirin Park,
135,Gardening,Model Town Park,
136,Gardening,National Bank Park,
137,Gardening,Shahdara Bagh,
138,Gardening,Jallo Park,
139,Gardening,Shalimar Garden,
140,Walk around ,It doesn’t matter,
141,Shopping,Emporium Mall,
142,Shopping,Panorama Shopping Centre,
143,Shopping,Fortress,
144,Shopping,Anarkali,
145,Shopping,Liberty Market,Shopping
146,Shopping,Auriga Market,Shopping
147,Shopping,Fortress Square,
148,Being Spiritual ( Religious),Badshahi Masjid,
149,Being Spiritual ( Religious),Wazir khan Masjid,
150,Being Spiritual ( Religious),Grand Jamia Masjid,
151,Being Spiritual ( Religious),Mavi Masjid,
152,Being Spiritual ( Religious),Dai Anqa Masjid,
153,Being Spiritual ( Religious),Begum Shahi Masjid,
154,Islamic research,Quran ,
155,Shopping,Anarkali,
156,Shopping,Panorama Shopping Centre,
157,Art & Calligraphy,AL-Hammra Art Centre,
158,Art & Calligraphy,Zulfi’s Art Gallery,
159,Shopping,Liberty Market,Shopping
160,Art & Calligraphy,Ejaz Art Gallery,
161,Art & Calligraphy,Hamail Art Gallery,
162,Art & Calligraphy,Zulfi’s Art Gallery,
163,Art & Calligraphy,Prime Art Gallery,
164,Animal Lover,Lahore Zoo,
165,Animal Lover,Lahore Safari Park,
166,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
167,Art & Calligraphy,AL-Hammra Art Centre,
168,Literature,,
169,Art & Calligraphy,Ocean Art Gallery,
170,Art & Calligraphy,Prime Art Gallery,
171,Art & Calligraphy,AL-Hammra Art Centre,
172,Art & Calligraphy,Passion Art Gallery,
173,Art & Calligraphy,Naqsh Art Gallery,
174,Gardening,Mochi Bagh.,
175,Art & Calligraphy,AL-Hammra Art Centre,
176,Art & Calligraphy,Naqsh Art Gallery,
177,History Lover,Army Museum,
178,History Lover,National History Museum,
179,Videography or editing,Gaddafi Stadium,
180,Videography or editing,Badshahi mosque,
181,Sports,Arena55,
182,Sports,Punjab Athletics Stadium,
183,Music,Musically - Rooftop Restaurant,
184,Sports,Bahria Golf and Country Club,
185,Sports,Royal Palm Golf and Country Club,
186,Sports,Oasis Golf and Aqua Resort,
187,Sports,Defence Raya Golf and Country Club,
188,Sports,Green Fields Country Club,
189,Sports,2F2F Formula Karting,
190,Sports,Punjab Athletics Stadium,
191,Sports,Gaddafi Stadium,
192,Sports,National Hockey Stadium,
193,Sports,Fame Football Club,
194,Sports,LDA Sports Complex,
195,,Lahore Marina Boat Club,
196,Sports,Arena56,
197,Sports,Quaid-e-Azam International Cycling Velodrome,
198,Writography,Every place can be worth clicking,
199,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
200,Shopping,Fortress,
201,Being Spiritual ( Religious),Begum Shahi Masjid,
202,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
203,Being Spiritual ( Religious),Dai Anqa Masjid,
204,Being Spiritual ( Religious),Mavi Masjid,
205,Being Spiritual ( Religious),Grand Jamia Masjid,
206,Being Spiritual ( Religious),Wazir khan Masjid,
207,Being Spiritual ( Religious),Badshahi Masjid,
208,Sports,Gaddafi Stadium,
209,Sports,Punjab Athletics Stadium,
210,,,
211,Art & Calligraphy,Hamail Art Gallery,
212,Art & Calligraphy,Ejaz Art Gallery,
213,Acting & Movies,Universal Cinema,
214,Acting & Movies,Alhamra Arts Council,
215,Acting & Movies,Ali Auditorium,
216,Music,Musically - Rooftop Restaurant,
217,Shopping,Anarkali,
218,Shopping,Liberty Market,Shopping
219,Shopping,Auriga Market,Shopping
220,Shopping,Liberty Market,Shopping
221,Literature,Quaid e Azam Library,
222,Literature,Punjab Public Library,
223,Literature,Dyal Singh Trust Library,
224,Literature,British Council Lahore Library,
225,Literature,Defence Public Library,
226,Literature,Government Model Town Library,
227,Literature,Children Library Complex,
228,Fitness,AimFit Lahore,
229,Acting & Movies,Alhamra Arts Council,
230,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
231,Art & Calligraphy,Hamail Art Gallery,
232,Art & Calligraphy,Ejaz Art Gallery,
233,Art & Calligraphy,Ocean Art Gallery,
234,Art & Calligraphy,Prime Art Gallery,
235,Art & Calligraphy,Passion Art Gallery,
236,Sports,Gaddafi Stadium,
237,Literature,Readings,
238,Literature,Liberty Books,
239,Literature,Readings,
240,Music,Sound of Music,Shopping|Music
241,Fitness,Structure Health & Fitness Gulberg Lahore,
242,Fitness,Shapes DHA,
243,Sports,Gaddafi Stadium,
244,Gaming,Gaming Zones?,
245,Sports,Gaddafi Stadium,
246,Fitness,Structure Health & Fitness Gulberg Lahore,
247,Fitness,"Bodytalk Gym Lahore,",
248,Fitness,Times Fitness,
249,Fitness,Fitness Zone,
250,Art & Calligraphy,AL-Hammra Art Centre,
251,Art & Calligraphy,Naqsh Art Gallery,
252,Art & Calligraphy,Passion Art Gallery,
253,Music,Musically - Rooftop Restaurant,
254,Sports,Gaddafi Stadium,
255,Sports,Punjab Athletics Stadium,
256,Fitness,Bahria Golf and Country Club,
257,Fitness,Oasis Golf and Aqua Resort,
258,Fitness,Defence Raya Golf and Country Club,
259,Fitness,Green Fields Country Club,
260,Reading novels,Any beautiful and peaceful place,
261,Traveling,Restaurants,
262,Acting & Movies,Universal Cinema,
263,Art & Calligraphy,Zulfi’s Art Gallery,
264,Acting & Movies,Universal Cinema,
265,Fitness,Structure Health & Fitness Gulberg Lahore,
266,Gardening,National Bank Park,
267,Gardening,Gulshan Iqbal Park,
268,Gardening,Shalimar Garden,
269,Acting & Movies,Cinestar,
270,Shopping,Fortress Square,
271,Shopping,Fortress,
272,Animal Lover,Lahore Safari Park,
273,Animal Lover,Jallo Forest and Wildlife,
274,Music,Musically - Rooftop Restaurant,
275,Acting & Movies,Cinestar,
276,Art & Calligraphy,AL-Hammra Art Centre,
277,Music,True Brew Records,Music
278,Sports,Gaddafi Stadium,
279,Sports,Bahria Golf and Country Club,
280,Being Spiritual ( Religious),Badshahi Masjid,
281,Music,Musically - Rooftop Restaurant,
282,Shopping,Packages Mall,
283,Sports,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
284,History Lover,Army Museum,
285,Acting & Movies,Cinestar,
286,Acting & Movies,Universal Cinema,
287,Acting & Movies,Alhamra Arts Council,
288,Literature,UET Library,
289,Literature,Quaid e Azam Library,
290,Animal Lover,Lahore Zoo,
291,Animal Lover,Lahore Safari Park,
292,Animal Lover,Changa Manga Forest and Wildlife Park,
293,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
294,Being Spiritual ( Religious),Badshahi Masjid,
295,Being Spiritual ( Religious),Wazir khan Masjid,
296,Being Spiritual ( Religious),Grand Jamia Masjid,
297,Being Spiritual ( Religious),Mavi Masjid,
298,Being Spiritual ( Religious),Dai Anqa Masjid,
299,Being Spiritual ( Religious),Begum Shahi Masjid,
300,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
301,Being Spiritual ( Religious),Shrine of Madhu Lal Hussain,
302,Being Spiritual ( Religious),Bibi Pak Daman Shrine,
303,Being Spiritual ( Religious),Sacred Heart Cathedral,
304,Being Spiritual ( Religious),St. Andrew’s Church,
305,Being Spiritual ( Religious),Krishna Mandir,
306,Being Spiritual ( Religious),Valmiki Mandir,
307,Being Spiritual ( Religious),Bhairav ka Asthan,
308,Being Spiritual ( Religious),Rattan Chand Temple,
309,Being Spiritual ( Religious),Gurdwara Dera Sahib,
310,Being Spiritual ( Religious),Gurdwara Janam Asthan Guru Ram Das,
311,Being Spiritual ( Religious),Gurdwara Shahid Ganj Singh Singhania,
312,Being Spiritual ( Religious),Shaheed Ganj Bhai Taru Singh,
313,Animal Lover,Jallo Forest and Wildlife,
314,Animal Lover,Lahore Zoo,
315,Animal Lover,Lahore Safari Park,
316,Animal Lover,Changa Manga Forest and Wildlife Park,
317,Animal Lover,Jallo Forest and Wildlife,
318,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
319,Book reading,Liberty books,
320,History Lover,"Lahore Meusem, Army Museum",
321,Music,GUITAR WORLD,
322,Acting & Movies,Cinepax,
323,Acting & Movies,Cinestar,
324,Art & Calligraphy,Passion Art Gallery,
325,Acting & Movies,Universal Cinema,
326,Animal Lover,Lahore Zoo,
327,Animal Lover,Lahore Safari Park,
328,Animal Lover,Rana Hunting and Luxury Resort Lahore,Animal Lover|Gardening|Fitness
329,History Lover,Lahore Meusem,
330,Shopping,Fortress Square,
331,Shopping,Emporium Mall,
332,Music,Musically - Rooftop Restaurant,
333,Sports,2F2F Formula Karting,
334,Music,Strictly Social,
335,Sports,Bahria Golf and Country Club,
336,History Lover,Shrine of Madhu Lal Hussain,
337,History Lover,Shrine of Hazrat Data Ganj Bakhsh,
338,History Lover,National History Museum,
339,History Lover,Army Museum,
340,History Lover,National History Museum,
341,Sports,2F2F Formula Karting,
342,History Lover,Army Museum,
343,Literature,"Ferozsons, Liberty Books",
344,Literature,Readings,
345,Literature,Quaid e Azam Library,
346,Literature,Punjab Public Library,
347,Literature,Dyal Singh Trust Library,
348,Literature,Government Model Town Library,
349,Literature,Children Library Complex,
350,Literature,Defence Public Library,
351,Shopping,Fortress,
352,Shopping,Liberty Market,Shopping
353,Shopping,Anarkali,
354,Shopping,Packages Mall,
355,Shopping,Emporium Mall,
356,Being Spiritual ( Religious),Wazir khan Masjid,
357,Being Spiritual ( Religious),Grand Jamia Masjid,
358,Being Spiritual ( Religious),Shrine of Madhu Lal Hussain,
359,Writing,Internet cafes,
360,Reading,Library,
361,Writing,Library,
362,Art & Calligraphy,AL-Hammra Art Centre,
363,History Lover,Lahore Meusem,
364,Music,Passion Art Gallery,
365,Art & Calligraphy,Prime Art Gallery,
366,Shopping,Emporium Mall,
367,Art & Calligraphy,AL-Hammra Art Centre,
368,Sports,Royal Palm Golf and Country Club,
369,Gardening,Shalimar Garden,
370,Art & Calligraphy,AL-Hammra Art Centre,
371,Literature,Quaid e Azam Library,
372,Literature,Punjab Public Library,
373,Literature,British Council Lahore Library,
374,Literature,Government Model Town Library,
375,Acting & Movies,Cinestar,
376,Shopping,The Arena,
377,Shopping,Alhamra Arts Council,
378,Shopping,Cinestar,
379,Art & Calligraphy,Hamail Art Gallery,
380,Art & Calligraphy,AL-Hammra Art Centre,
381,Shopping,Packages Mall,
382,Shopping,Emporium Mall,
383,Shopping,Xinhua Mall,
384,Shopping,Fortress,
385,Shopping,Liberty Market,Shopping
386,Reading,Quaid e Azam Library,
387,Gardening,Naqsh Art Gallery,
388,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
389,Shopping,Gulberg Galleria,
390,Shopping,Liberty Market,Shopping
391,Literature,Ferozsons,
392,Sports,Fame Football Club,
393,Shopping,Liberty Market,Shopping
394,Shopping,Anarkali,
395,Shopping,Fortress,
396,Shopping,Fortress,
397,Shopping,Anarkali,
398,Shopping,Liberty Market,Shopping
399,Being Spiritual ( Religious),Badshahi Masjid,
400,Writing,Home,
401,History Lover,Lahore Meusem,
402,History Lover,Army Museum,
403,History Lover,Shakir Ali Museum,
404,Gardening,Model Town Park,
405,Gardening,Oasis Golf and Aqua Resort,
406,Gardening,Lawrence Garden,
407,Gardening,Jilani Park,
408,Acting & Movies,Alhamra Arts Council,
409,Acting & Movies,Universal Cinema,
410,Being Spiritual ( Religious),Wazir khan Masjid,
411,Being Spiritual ( Religious),Badshahi Masjid,
412,Literature,Readings,
413,Gardening,Lawrence Garden,
414,Sports,Gaddafi Stadium,
415,Sports,2F2F Formula Karting,
416,Acting & Movies,Home,
417,Art & Calligraphy,Ejaz Art Gallery,
418,Art & Calligraphy,Hamail Art Gallery,
419,Art & Calligraphy,AL-Hammra Art Centre,
420,Art & Calligraphy,Passion Art Gallery,
421,Sports,Arena56,
422,Sports,Gaddafi Stadium,
423,Sports,Quaid-e-Azam International Cycling Velodrome,
424,Sports,Lahore Marina Boat Club,
425,Being Spiritual ( Religious),Badshahi Masjid,
426,Being Spiritual ( Religious),Wazir khan Masjid,
427,Being Spiritual ( Religious),Grand Jamia Masjid,
428,Being Spiritual ( Religious),Mavi Masjid,
429,Being Spiritual ( Religious),Dai Anqa Masjid,
430,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
431,Being Spiritual ( Religious),Shrine of Madhu Lal Hussain,
432,Music,,
433,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
434,Being Spiritual ( Religious),Badshahi Masjid,
435,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
436,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
437,Being Spiritual ( Religious),Badshahi Masjid,
438,Sports,Fame Football Club,
439,Art & Calligraphy,Hamail Art Gallery,
440,Art & Calligraphy,Zulfi’s Art Gallery,
441,Art & Calligraphy,AL-Hammra Art Centre,
442,Art & Calligraphy,Passion Art Gallery,
443,Literature,Ferozsons,
444,Literature,Anees Book Corner,Shopping|Literature
445,Literature,Readings,
446,Literature,Quaid e Azam Library,
447,Literature,Punjab Public Library,
448,Literature,Government Model Town Library,
449,Music,Badshahi Masjid,
450,Sports,Gaddafi Stadium,
451,Sports,Gaddafi Stadium,
452,Travelling,Badshahi Masjid,
453,Sports,Passion Art Gallery,
454,Shopping,Fortress,
455,Shopping,Mall of Lahore,Shopping
456,Shopping,Fortress Square,
457,Art & Calligraphy,AL-Hammra Art Centre,
458,Art & Calligraphy,Prime Art Gallery,
459,Literature,Home,
460,Being Spiritual ( Religious),Krishna Mandir,
461,Being Spiritual ( Religious),Bhairav ka Asthan,
462,Being Spiritual ( Religious),Valmiki Mandir,
463,Shopping,Emporium Mall,
464,History Lover,Army Museum,
465,Shopping,Gulberg Galleria,
466,Animal Lover,Pet sheds,
467,Acting & Movies,Home,
468,Shopping,Nairang Art Gallery,
469,Shopping,Ocean Art Gallery,
470,Shopping,Naqsh Art Gallery ,
471,Shopping,AL-Hammra Art Centre,
472,Shopping,Prime Art Gallery,
473,Shopping,Hamail Art Gallery,
474,Shopping,Ejaz Art Gallery,
475,Shopping,Ejaz Art Gallery,
476,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
477,Being Spiritual ( Religious),Grand Jamia Masjid,
478,Being Spiritual ( Religious),Badshahi Masjid,
479,Being Spiritual ( Religious),Wazir khan Masjid,
480,Fitness,Bodytalk Gym Lahore,
481,Being Spiritual ( Religious),Wazir khan Masjid,
482,Being Spiritual ( Religious),"Grand Jamia Masji, ",
483,Being Spiritual ( Religious),"Badshahi Masjid,",
484,Being Spiritual ( Religious),Mavi Masjid,
485,Music,Musically - Rooftop Restaurant,
486,Art & Calligraphy,Ejaz Art Gallery,
487,Being Spiritual ( Religious),Wazir khan Masjid,
488,Being Spiritual ( Religious),Grand Jamia Masjid,
489,Being Spiritual ( Religious),Daata drbaar,
490,Being Spiritual ( Religious),Mavi Masjid,
491,Being Spiritual ( Religious),Badshahi Masjid,
492,Animal Lover,Lahore Safari Park,
493,Music,Cinestar,
494,Being Spiritual ( Religious),Wazir khan Masjid,
495,Being Spiritual ( Religious),Badshahi Masjid,
496,Travelling,,
497,Sports,Bahria Golf and Country Club,
498,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
499,Art & Calligraphy,AL-Hammra Art Centre,
500,Sports,Fame Football Club,
501,Sports,Punjab Athletics Stadium,
502,Sports,Gaddafi Stadium,
503,Sports,National Hockey Stadium,
504,Sports,Quaid-e-Azam International Cycling Velodrome,
505,Sports,Fame Football Club,
506,Sports,LDA Sports Complex,
507,Sports,2F2F Formula Karting,
508,Sports,Gaddafi Stadium,
509,Sports,Arena56,
510,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
511,Shopping,Emporium Mall,
512,Shopping,Packages Mall,
513,Shopping,Liberty Market,Shopping
514,Shopping,Fortress Square,
515,Sports,Gaddafi Stadium,
516,Art & Calligraphy,Ejaz Art Gallery,
517,Art & Calligraphy,Hamail Art Gallery,
518,Art & Calligraphy,Zulfi’s Art Gallery,
519,Art & Calligraphy,AL-Hammra Art Centre,
520,Music,Musically - Rooftop Restaurant,
521,History Lover,Lahore Meusem,
522,History Lover,National History Museum,
523,History Lover,Army Museum,
524,Sports,Gaddafi Stadium,
525,Literature,Punjab Public Library,
526,Gardening,Oasis Golf and Aqua Resort,
527,Gardening,Jilani Park,
528,Gardening,Model Town Park,
529,Art & Calligraphy,Ejaz Art Gallery,
530,Art & Calligraphy,Zulfi’s Art Gallery,
531,Art & Calligraphy,Prime Art Gallery,
532,Sports,Royal Palm Golf and Country Club,
533,Sports,Oasis Golf and Aqua Resort,
534,Sports,Defence Raya Golf and Country Club,
535,Sports,Green Fields Country Club,
536,Sports,Quaid-e-Azam International Cycling Velodrome,
537,Sports,Lahore Marina Boat Club,
538,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
539,Art & Calligraphy,AL-Hammra Art Centre,
540,Sports,Fame Football Club,
541,Sports,Punjab Athletics Stadium,
542,Sports,Gaddafi Stadium,
543,Sports,National Hockey Stadium,
544,Sports,Quaid-e-Azam International Cycling Velodrome,
545,Sports,Fame Football Club,
546,Sports,LDA Sports Complex,
547,Sports,2F2F Formula Karting,
548,Sports,Gaddafi Stadium,
549,Sports,Arena56,
550,Being Spiritual ( Religious),Shrine of Hazrat Data Ganj Bakhsh,
551,Shopping,Emporium Mall,
552,Shopping,Packages Mall,
553,Shopping,Liberty Market,Shopping
554,Shopping,Fortress Square,
555,Sports,Gaddafi Stadium,
556,Art & Calligraphy,Ejaz Art Gallery,
557,Art & Calligraphy,Hamail Art Gallery,
558,Art & Calligraphy,Zulfi’s Art Gallery,
559,Art & Calligraphy,AL-Hammra Art Centre,
560,Music,Musically - Rooftop Restaurant,
561,History Lover,Lahore Meusem,
562,History Lover,National History Museum,
563,History Lover,Army Museum,
564,Sports,Gaddafi Stadium,
565,Literature,Punjab Public Library,
566,Gardening,Oasis Golf and Aqua Resort,
567,Gardening,Jilani Park,
568,Gardening,Model Town Park,
569,Art & Calligraphy,Ejaz Art Gallery,
570,Art & Calligraphy,Zulfi’s Art Gallery,
571,Art & Calligraphy,Prime Art Gallery,
572,Sports,Royal Palm Golf and Country Club,
573,Sports,Oasis Golf and Aqua Resort,
574,Sports,Defence Raya Golf and Country Club,
575,Sports,Green Fields Country Club,
576,Sports,Quaid-e-Azam International Cycling Velodrome,
577,Sports,Lahore Marina Boat Club,
578,Literature,Ferozsons,
579,Literature,Anees Book Corner,Shopping|Literature
580,Literature,Readings,
581,Literature,Quaid e Azam Library,
582,Literature,Punjab Public Library,
583,Literature,Government Model Town Library,
584,Art & Calligraphy,Ejaz Art Gallery,
585,Art & Calligraphy,Hamail Art Gallery,
586,Art & Calligraphy,AL-Hammra Art Centre,
587,Sports,Royal Palm Golf and Country Club,
588,Gardening,Shalimar Garden,
589,Art & Calligraphy,AL-Hammra Art Centre,
590,Literature,Quaid e Azam Library,
591,Literature,Punjab Public Library,
592,Literature,British Council Lahore Library,
593,Literature,Government Model Town Library,
594,Acting & Movies,Cinestar,
595,Shopping,The Arena,
596,Shopping,Alhamra Arts Council,
597,Shopping,Cinestar,
598,Art & Calligraphy,Hamail Art Gallery,
599,Art & Calligraphy,AL-Hammra Art Centre,
600,Shopping,Packages Mall,
601,Shopping,Emporium Mall,
602,Shopping,Xinhua Mall,
603,Shopping,Fortress,
604,Shopping,Liberty Market,Shopping
605,Reading,Quaid e Azam Library,
606,Gardening,Naqsh Art Gallery,
607,Music,FEELING JAZZ - YAMAHA MUSIC,Shopping|Music
608,Shopping,Gulberg Galleria,
609,Shopping,Liberty Market,Shopping
610,Literature,Ferozsons,
611,Sports,Fame Football Club,
612,Shopping,Liberty Market,Shopping
613,Shopping,Anarkali,
